QueryResult

# Config entry for original catalog server:
serv_type: catalog
long_name: SExtractor catalog
short_name: SExCat
symbol: {} diamond  8.0
# End config entry

NUMBER	X_IMAGE	Y_IMAGE	FLUX_ISO	FLUXERR_ISO	FLUX_AUTO	FLUXERR_AUTO	FLUX_MAX	ISOAREA_IMAGE	CXX_IMAGE	CYY_IMAGE	CXY_IMAGE	THETA_IMAGE	FLAGS	ELONGATION	ELLIPTICITY	
------------------
         1	    176.638	    177.251	 1.088382e+07	     14769.68	 1.163794e+07	     19209.02	     10370.08	      6041	 2.9757682e-03	 4.2847754e-03	 -1.6432649e-03	  25.7	   3	    1.347	    0.258	
         2	    345.049	    126.168	      4611794	     10291.68	      4734592	     12313.79	     10318.28	      2893	 7.3090047e-03	 3.8827986e-03	 2.0923429e-04	 -88.3	  27	    1.373	    0.272	
         3	    101.964	    112.061	      1221706	     5048.141	      1246794	     5855.291	     10931.37	       693	 7.1156599e-02	 2.0019569e-02	 5.7043582e-03	 -86.8	   0	    1.895	    0.472	
         4	     59.627	      7.516	     128770.2	      1992.01	     144770.9	     2837.126	     7780.892	       110	 3.2599020e-01	 7.5709850e-02	 -5.5453662e-02	  83.8	  27	    2.128	    0.530	
         5	     52.658	     29.228	     127262.9	     1480.579	     130780.1	     1814.548	     10156.36	        58	 3.7821010e-01	 4.2240936e-01	 4.5429204e-02	 -22.9	   2	    1.083	    0.076	
         6	     54.597	     17.516	     23724.71	     1058.621	      38413.8	     2477.132	     2581.114	        31	 4.0907842e-01	 6.0775334e-01	 -2.0609981e-01	  23.0	   3	    1.336	    0.251	
         7	     53.198	     12.979	     21089.16	     961.4896	     28252.08	      2116.74	     2886.625	        25	 5.6970888e-01	 6.3901347e-01	 3.2163218e-03	  -1.3	   3	    1.059	    0.056	
         8	     50.062	      8.818	      33922.2	     1136.746	     46636.62	     2173.665	     4707.869	        37	 4.5310190e-01	 5.0345355e-01	 1.1422586e-01	 -33.1	  19	    1.140	    0.123	
         9	    310.389	     11.364	     128005.4	     1665.412	       134375	      2164.14	     8471.742	        71	 3.2740083e-01	 2.9570460e-01	 2.7990866e-01	 -48.2	  19	    1.628	    0.386	
        10	    303.646	     23.756	     250476.9	     1847.236	     256409.1	     2162.518	      10826.6	        91	 2.6620016e-01	 3.0581605e-01	 9.8282592e-03	  -7.0	   3	    1.074	    0.069	
        11	    301.458	     15.994	     28418.18	     1045.518	     40490.36	     2164.812	     4092.591	        31	 7.2233510e-01	 4.4248959e-01	 -7.3572703e-02	  82.6	   3	    1.289	    0.224	
        12	    149.117	     25.781	     85312.72	     1351.862	     92034.95	     1730.819	     9170.065	        47	 4.4044867e-01	 4.2795935e-01	 -2.2398105e-02	  59.6	   3	    1.030	    0.029	
        13	    152.491	     18.299	     525989.6	     2497.318	     536459.2	     2916.419	      10910.6	       164	 1.4168286e-01	 2.0641519e-01	 -1.3786142e-01	  32.4	   3	    1.599	    0.374	
        14	    292.136	     13.199	     54006.85	     1328.143	     59689.73	     1856.701	     6810.096	        42	 4.8732233e-01	 3.6925697e-01	 3.3291304e-01	 -54.8	   2	    1.550	    0.355	
        15	     35.223	      7.314	     124800.5	     1683.722	     131385.2	     2163.449	     8934.269	        79	 3.5762295e-01	 2.2003092e-01	 1.7934579e-01	 -63.7	  19	    1.512	    0.339	
        16	     40.201	     16.371	     163588.6	       1656.7	     168400.6	     1944.709	     10554.17	        78	 3.1526178e-01	 3.7428749e-01	 2.5175160e-03	  -1.2	   3	    1.090	    0.082	
        17	     33.253	     16.010	     37311.73	     1002.602	     40615.42	     1451.023	     5748.563	        29	 6.9145644e-01	 5.7738376e-01	 -6.7865044e-02	  74.6	   3	    1.111	    0.100	
        18	    125.895	     15.233	     31824.67	     983.5959	     36433.85	     1556.894	     5287.127	        25	 7.2445136e-01	 6.8088591e-01	 -1.0002860e-01	  56.8	   0	    1.081	    0.075	
        19	    116.703	     11.718	     95103.82	     1379.076	     99018.22	     1676.048	       9345.5	        51	 4.3402624e-01	 4.9512133e-01	 5.8680169e-02	 -21.9	   0	    1.096	    0.087	
        20	    234.949	     11.033	     62501.73	       1163.2	     64460.94	     1492.013	     8375.666	        31	 5.4943848e-01	 6.3052380e-01	 -4.9186293e-02	  15.6	   0	    1.084	    0.077	
[EOD]
