# This is a table giving the metadata for the allwise data release,
# in STIL ASCII format, with blank values represented by "---".
#
# Data files matching this format can be found at;
#    http://irsadist.ipac.caltech.edu/wise-allwise/
#
# Metadata was taken from:
#
#    http://irsadist.ipac.caltech.edu/wise-allwise/wise-allwise-cat-schema.txt
#       - column names and types
#
#    http://wise2.ipac.caltech.edu/docs/release/allwise/expsup/sec2_1a.html
#       - column units and nullability
#
# Gordon Richards (Drexel) contributed FITS-friendly (69-character)
# description text for each column culled from the sec2_1a file as well.
#
#
# name            type            unit       hasnull   col1
  designation     char(20)        ----       no        "Sexagesimal, equatorial position-based src name: hhmmss.ss+ddmmss.s"
  ra              decimal(10,7)   deg        no        "J2000 right ascension"
  dec             decimal(9,7)    deg        no        "J2000 declination"
  sigra           decimal(7,4)    arcsec     yes       "One-sigma uncertainty in right ascension coordinate"
  sigdec          decimal(7,4)    arcsec     yes       "One-sigma uncertainty in declination coordinate"
  sigradec        decimal(8,4)    arcsec     yes       "The co-sigma of the equatorial position uncertainties, sigra, sigdec"
  glon            decimal(10,7)   deg        no        "Galactic longitude (see expsup/sec2_1a.html for caution)"
  glat            decimal(9,7)    deg        no        "Galactic latitude (see expsup/sec2_1a.html for caution)"
  elon            decimal(10,7)   deg        no        "Ecliptic longitude (see expsup/sec2_1a.html for caution)"
  elat            decimal(9,7)    deg        no        "Ecliptic latitude (see expsup/sec2_1a.html for caution)"
  wx              decimal(7,3)    pix        yes       "The x-pixel coordinate of this source"
  wy              decimal(7,3)    pix        yes       "The y-pixel coordinate of this source"
  cntr            serial8         ----       no        "Unique ID number for this object (see expsup/sec2_1a.html)"
  source_id       char(28)        ----       no        "Unique source ID (see expsup/sec2_1a.html)"
  coadd_id        char(20)        ----       no        "Atlas Tile identifier (see expsup/sec2_1a.html)"
  src             integer         ----       no        "Sequential number of the source extraction"
  w1mpro          decimal(5,3)    mag        yes       "W1 profile-fitting magnitude or 95% confidence limit"
  w1sigmpro       decimal(4,3)    mag        yes       "W1 profile-fit photometric measurement uncertainty (null if limit)"
  w1snr           decimal(7,1)    ----       yes       "W1 profile-fit measurement signal-to-noise ratio"
  w1rchi2         smallfloat      ----       yes       "Reduced chi-square of the W1 profile-fit photometry measurement"
  w2mpro          decimal(5,3)    mag        yes       "W2 profile-fitting magnitude or 95% confidence limit"
  w2sigmpro       decimal(4,3)    mag        yes       "W2 profile-fit photometric measurement uncertainty (null if limit)"
  w2snr           decimal(7,1)    ----       yes       "W2 profile-fit measurement signal-to-noise ratio"
  w2rchi2         smallfloat      ----       yes       "Reduced chi-square of the W2 profile-fit photometry measurement"
  w3mpro          decimal(5,3)    mag        yes       "W3 profile-fitting magnitude or 95% confidence limit"
  w3sigmpro       decimal(4,3)    mag        yes       "W3 profile-fit photometric measurement uncertainty (null if limit)"
  w3snr           decimal(7,1)    ----       yes       "W3 profile-fit measurement signal-to-noise ratio"
  w3rchi2         smallfloat      ----       yes       "Reduced chi-square of the W3 profile-fit photometry measurement"
  w4mpro          decimal(5,3)    mag        yes       "W4 profile-fitting magnitude or 95% confidence limit"
  w4sigmpro       decimal(4,3)    mag        yes       "W4 profile-fit photometric measurement uncertainty (null if limit)"
  w4snr           decimal(7,1)    ----       yes       "W4 profile-fit measurement signal-to-noise ratio"
  w4rchi2         smallfloat      ----       yes       "Reduced chi-square of the W4 profile-fit photometry measurement"
  rchi2           smallfloat      ----       yes       "Combined reduced chi-square in all bands"
  nb              integer         ----       yes       "Number of PSF components used in fitting this source"
  na              integer         ----       yes       "Active deblending flag (0=not deblended, 1=deblended)"
  w1sat           decimal(4,3)    ----       yes       "Saturated pixel fraction, W1"
  w2sat           decimal(4,3)    ----       yes       "Saturated pixel fraction, W2"
  w3sat           decimal(4,3)    ----       yes       "Saturated pixel fraction, W3"
  w4sat           decimal(4,3)    ----       yes       "Saturated pixel fraction, W4"
  satnum          char(4)         ----       yes       "Minimum sample at which saturation occurs in each band"
  ra_pm           decimal(10,7)   deg        yes       "Right ascension at epoch MJD=55400.0"
  dec_pm          decimal(9,7)    deg        yes       "Declination at epoch MJD=55400.0"
  sigra_pm        decimal(7,4)    arcsec     yes       "One-sigma uncertainty in RA for model that includes motion"
  sigdec_pm       decimal(7,4)    arcsec     yes       "One-sigma uncertainty in Dec for model that includes motion"
  sigradec_pm     decimal(8,4)    arcsec     yes       "Co-sigma of position uncertainties for model that includes motion"
  pmra            integer         mas/year   yes       "The apparent motion in right ascension estimated for this source"
  sigpmra         integer         mas/year   yes       "Uncertainty in the RA motion estimation"
  pmdec           integer         mas/year   yes       "The apparent motion in declination estimated for this source"
  sigpmdec        integer         mas/year   yes       "Uncertainty in the Dec motion estimated for this source"
  w1rchi2_pm      smallfloat      ----       yes       "Reduced chi-square of the W1mpro for model that includes motion"
  w2rchi2_pm      smallfloat      ----       yes       "Reduced chi-square of the W2mpro for model that includes motion "
  w3rchi2_pm      smallfloat      ----       yes       "Reduced chi-square of the W3mpro for model that includes motion"
  w4rchi2_pm      smallfloat      ----       yes       "Reduced chi-square of the W4mpro for model that includes motion"
  rchi2_pm        smallfloat      ----       yes       "Combined reduced chi-square in all bands for model including motion"
  pmcode          char(5)         ---        yes       "String regarding motion estimation accuracy (expsup/sec2_1a.html)"
  cc_flags        char(4)         ----       no        "Contamination and confusion flag (see expsup/sec2_1a.html)"
  rel             char(1)         ----       yes       "Small-separation, same-Tile detection flag (see expsup/sec2_1a.html)"
  ext_flg         integer         ----       yes       "Extended source flag (see expsup/sec2_1a.html)"
  var_flg         char(4)         ----       yes       "Variability flag (see expsup/sec2_1a.html)"
  ph_qual         char(4)         ----       no        "Photometric quality flag (see expsup/sec2_1a.html)"
  det_bit         integer         ----       no        "Bit-encoded integer indicating bands in which a source has a w?snr>2"
  moon_lev        char(4)         ----       no        "Scattered moonlight contamination flag (see expsup/sec2_1a.html)"
  w1nm            integer         ----       yes       "W1 integer frame detection count"
  w1m             integer         ----       yes       "W1 integer frame coverage"
  w2nm            integer         ----       yes       "W2 integer frame detection count"
  w2m             integer         ----       yes       "W2 integer frame coverage"
  w3nm            integer         ----       yes       "W3 integer frame detection count"
  w3m             integer         ----       yes       "W3 integer frame coverage"
  w4nm            integer         ----       yes       "W4 integer frame detection count"
  w4m             integer         ----       yes       "W4 integer frame coverage"
  w1cov           decimal(6,3)    ----       yes       "Mean pixel coverage in W1"
  w2cov           decimal(6,3)    ----       yes       "Mean pixel coverage in W2"
  w3cov           decimal(6,3)    ----       yes       "Mean pixel coverage in W3"
  w4cov           decimal(6,3)    ----       yes       "Mean pixel coverage in W4"
  w1cc_map        integer         ----       yes       "W1 contamination and confusion map (see expsup/sec2_1a.html)"
  w1cc_map_str    char(9)         ----       yes       "W1 contamination and confusion string (see expsup/sec2_1a.html)"
  w2cc_map        integer         ----       yes       "W2 contamination and confusion map (see expsup/sec2_1a.html)"
  w2cc_map_str    char(9)         ----       yes       "W2 contamination and confusion string (see expsup/sec2_1a.html)"
  w3cc_map        integer         ----       yes       "W3 contamination and confusion map (see expsup/sec2_1a.html)"
  w3cc_map_str    char(9)         ----       yes       "W3 contamination and confusion string (see expsup/sec2_1a.html)"
  w4cc_map        integer         ----       yes       "W4 contamination and confusion map (see expsup/sec2_1a.html)"
  w4cc_map_str    char(9)         ----       yes       "W4 contamination and confusion string (see expsup/sec2_1a.html)"
  best_use_cntr   int8            ----       yes       "Cntr identification value of the source extraction"
  ngrp            smallint        ----       yes       "Excess number of positionally associated duplicate resolution groups"
