# generated by kcors.py script
#
# filter redshift c1 c2 cvalue kcor
B 0.294719604375 B Rc 0.110521534121 -0.202075873271
H2 0.0220425636029 H2 Ks2 -0.00849117586253 -0.0371067618249
H2 0.156847520546 J2 H2 -1.42822313814 10.0491674484
H 0.00122706585274 H K -0.924475726389 0.00365312873649
H 0.130381876028 J H 1.40146510679 -1.2804168028
Ic 0.480713680732 V Ic 0.395735688223 -0.0307010839656
J2 0.387912818405 J2 Ks2 -0.306226551634 -0.305633450593
J2 0.0777540832266 J2 H2 -0.97517887335 1.52558998341
J 0.124088808657 J K -0.86002072725 -0.282677000918
J 0.433894934401 J H -0.946343364652 -1.54404125828
Ks2 0.0842557494739 J2 Ks2 0.78100100066 -0.178118829697
Ks2 0.358379618911 H2 Ks2 -0.603044286341 -0.0446167873114
K 0.121407425233 H K -0.543122163446 -0.3215210751
Rc 0.357504295035 B Rc 1.00944550327 0.0551140590295
U 0.0998827974251 U Rc 0.739524940115 0.207231650709
V 0.318803492347 V Ic -0.174218293344 1.22836373421
V 0.259656108504 V Rc -1.2564909757 -0.848778067841
Y 0.0159129436825 Y H 1.33017758064 -0.263654775553
Y 0.278600651687 Y K -0.463262631674 -0.570639516566
g 0.0750552031513 g r 0.473245542452 0.0478607430554
g 0.221767462473 g i -1.08114780313 4.44536336462
g 0.0973159866687 g z -1.31617596025 3.00392009978
i 0.346505137115 g i 1.09977077571 -0.123506857991
i 0.262227122494 u i 0.972584779935 -0.313742635573
r 0.34015727002 g r 0.294209409565 -0.0587772145711
r 0.447644447532 u r 0.591989943018 -0.0979183707522
u 0.00310910819872 u i 0.450178811337 0.025753786748
u 0.188506698013 u z 0.403691659958 -0.273185222976
z 0.154115188666 r z 1.25033620444 -0.120802552553
z 0.162784152403 g z 1.00973961876 -0.0641809296092
z 0.127124857126 u z 1.16472783267 -0.0781528095261
