ra,dec,initime,endtime
34.35979,0.1541809,2017-09-12T05:05:45,2017-09-12T05:05:47
316.9383,23.462240,2018-07-25T03:17:08,2018-07-25T03:17:10
140.6590,50.672214,2010-04-04T23:33:56,2010-04-04T23:34:07
47.87773,-1.081228,2017-09-12T07:42:31,2017-09-12T07:42:33
31.60651,26.673599,2018-07-29T07:36:19,2018-07-29T07:36:21
0.876111,45.084111,2018-12-17T21:27:02,2018-12-17T21:27:04
272.5217,-10.17080,2024-07-23T00:43:50,2024-07-23T00:49:50
230.4942,68.344963,2015-09-01T01:39:07,2015-09-01T01:59:07
175.5859,26.759199,2013-01-24T02:45:48,2013-01-24T02:45:51
149.4454,69.844049,2018-05-07T02:05:39,2018-05-07T02:05:53
